Fakülte / Birim,Program
Elmalı MYO,Sivil Savunma & İtfaiyecilik (Civil Defence & Fire-Fighting)
Elmalı MYO,Tarım Makineleri (Agricultural Machinery)
Finike MYO,Bahçe Tarımı (Horticultural Science)
Finike MYO,Deniz ve Liman İşletmeciliği (Maritime and Port Management)
Finike MYO,Dış Ticaret (Foreign Trade)
Finike MYO,Meyve & Sebze İşleme Teknolojileri (Fruit & Vegetable Processing Technology)
Finike MYO,Turizm & Otel İşletmeciliği (Tourism & Hotel Management)
Göynük Mutfak Sanatları MYO,Aşçılık (Culinary Arts)
Göynük Mutfak Sanatları MYO,İkram Hizmetleri (Catering Services)
Göynük Mutfak Sanatları MYO,Pastacılık & Ekmekçilik (Pastry & Bakery)
Korkuteli MYO,Bahçe Tarımı (Horticultural Science)
Korkuteli MYO,Bilgisayar Programcılığı (Computer Programming)
Korkuteli MYO,Elektronik Haberleşme Teknolojisi (Electronic Communications Technology)
Korkuteli MYO,Finans (Finance)
Korkuteli MYO,Mantar Üretimi (Mushroom Production)
Korkuteli MYO,Muhasebe ve Vergi Uygulamaları (Accounting & Tax Applications)
Korkuteli MYO,Pazarlama (Marketing)
Kumluca MYO,Bahçe Tarımı (Horticultural Science)
Kumluca MYO,İşletme (Business Management)
Kumluca MYO,Muhasebe ve Vergi Uygulamaları (Accounting & Tax Applications)
Kumluca MYO,Sera Teknikleri (Greenhouse Techniques)
Manavgat MYO,Aşçılık (Culinary Arts)
Manavgat MYO,Bilgisayar Programcılığı (Computer Programming)
Manavgat MYO,Çocuk Gelişimi (Child Development)
Manavgat MYO,Gıda Teknolojisi (Food Technology)
Manavgat MYO,İşletme (Business Management)
Manavgat MYO,Muhasebe ve Vergi Uygulamaları (Accounting & Tax Applications)
Manavgat MYO,Organik Tarım (Organic Agriculture)
Manavgat MYO,Pazarlama (Marketing)
Manavgat MYO,Turizm & Otel İşletmeciliği (Tourism & Hotel Management)
Manavgat MYO,Turizm ve Seyahat Hizmetleri (Tourism and Travel Services)
Vocational School of Health Services,Çocuk Gelişimi (Child Development)
Vocational School of Health Services,Diyaliz (Dialysis)
Vocational School of Health Services,Fizyoterapi (Physiotherapy)
Vocational School of Health Services,İlk ve Acil Yardım (First and Emergency Aid)
Vocational School of Health Services,Tıbbi Dokümantasyon & Sekreterlik (Medical Documentation & Secretaryship)
Vocational School of Health Services,Tıbbi Görüntüleme Teknikleri (Medical Imaging Techniques)
Vocational School of Health Services,Tıbbi Laboratuvar Teknikleri (Medical Laboratory Techniques)
Vocational School of Health Services,Yaşlı Bakımı (Elderly Care)
Vocational School of Social Sciences,Bankacılık ve Sigortacılık (Banking & Insurance)
Vocational School of Social Sciences,Büro Yönetimi & Yönetici Asistanlığı (Office Management & Executive Assistant)
Vocational School of Social Sciences,Çağrı Merkezi Hizmetleri (Call Centre Services)
Vocational School of Social Sciences,Halkla İlişkiler & Reklam (Public Relations & Advertising)
Vocational School of Social Sciences,İşletme (Business Management)
Vocational School of Social Sciences,Medya & İletişim (Media & Communication)
Vocational School of Social Sciences,Muhasebe ve Vergi Uygulamaları (Accounting & Tax Applications)
Vocational School of Social Sciences,Özel Güvenlik & Koruma (Private Security & Protection)
Vocational School of Social Sciences,Pazarlama (Marketing)
Vocational School of Social Sciences,Sivil Havacılık Yönetimi (Civil Aviation Management)
Vocational School of Social Sciences,Sosyal Hizmetler (Social Services)
Vocational School of Social Sciences,Turizm & Otel İşletmeciliği (Tourism & Hotel Management)
Vocational School of Social Sciences,Turizm & Seyahat Hizmetleri (Tourism and Travel Services)
Vocational School of Technical Sciences,Bilgisayar Programcılığı (Computer Programming)
Vocational School of Technical Sciences,Biyomedikal Cihaz Teknolojisi (Biomedical Device Technology)
Vocational School of Technical Sciences,CBS / Geographic Information Systems
Vocational School of Technical Sciences,Çevre Koruma ve Kontrol (Environmental Protection & Control)
Vocational School of Technical Sciences,Doğalgaz Tesisat Teknolojisi (Natural Gas Installation Technology)
Vocational School of Technical Sciences,Elektrik (Electricity)
Vocational School of Technical Sciences,Elektronik İletişim Teknolojisi (Electronic Communication Technology)
Vocational School of Technical Sciences,Elektronik Teknolojisi (Electronic Technology)
Vocational School of Technical Sciences,Harita ve Kadastro / Maps & Cadastre
Vocational School of Technical Sciences,Isıtma & Soğutma Teknolojisi (Air Conditioning & Cooling Technology)
Vocational School of Technical Sciences,İnşaat Teknolojisi / Construction Technology
Vocational School of Technical Sciences,Kontrol & Otomasyon Teknolojisi (Control & Automation Technology)
Vocational School of Technical Sciences,Makine / Machinery
Vocational School of Technical Sciences,Mekatronik (Mechatronics)
Vocational School of Technical Sciences,Mobilya & Dekorasyon (Furniture & Decoration)
Vocational School of Technical Sciences,Nükleer Teknoloji & Radyasyon Güvenliği (Nuclear Technology & Radiation Safety)
Vocational School of Technical Sciences,Organik Tarım (Organic Agriculture)
Vocational School of Technical Sciences,Otomotiv Teknolojisi (Automotive Technology)
Vocational School of Technical Sciences,Sivil Savunma & İtfaiyecilik (Civil Defence & Fire-Fighting)
Vocational School of Technical Sciences,İnşaat Denetimi (Construction Inspection)
